3268, 3118
202084, 106119
1941792, 785069
58634, 42575
1060172, 1051337
1867757, 531497
133486, 78689
1234491, 1170980
530302, 294673
199743, 106582
192543, 175993
379922, 293337
1426480, 302887
2178251, 2118498
2024600, 991650
1206506, 1000052
2637312, 1089054
1978703, 1024520
207871, 3619
534325, 353888
1173602, 279573
54215, 28511
106532, 37676
2141238, 522565
2370842, 2350396
1426350, 1042114
2705511, 2553104
2385535, 1936183
1202124, 389203
2676951, 991734
1459506, 518448
302715, 123024
2538770, 2027874
2539636, 1111435
2101988, 1839567
1282284, 985373
1992815, 1179511
2151028, 1580121
2690810, 445142
2718001, 1522317
2554625, 2049731
2359478, 1287343
127422, 8465
1232927, 813071
1137220, 991262
1805482, 1269434
1592922, 1192861
1808283, 1788438
1099529, 443847
530037, 58137
2067480, 1873811
530180, 341629
400695, 93092
2688763, 1338280
985918, 266300
88032, 7477
1553146, 257003
1200361, 785755
2033316, 1272807
2258596, 2042316
757029, 51464
1088268, 373728
2545112, 1487877
1836318, 1792612
1710897, 133227
683897, 404830
2283247, 870893
750474, 246271
862221, 438056
979341, 376879
634949, 417555
1790534, 529045
1843718, 538636
1736062, 1341124
694112, 285086
747855, 325574
662743, 559711
666145, 57850
877570, 236430
972337, 732795
1001754, 404312
550640, 501215
1182109, 682020
1446382, 669460
1495629, 933596
1621495, 584532
579937, 307447
1789760, 420979
1792219, 1233559
1803246, 983097
1953832, 356313
1959947, 367040
2049694, 1737174
2099977, 1639392
2124228, 588325
2271372, 1712671
2327682, 2273570
2360906, 1380734
2563353, 739274
2756216, 656894
