50112, 49090
293317, 177761
5866, 5743
35325, 28592
229443, 222700
74304, 55719
328461, 14761
7096, 4358
159196, 9805
212305, 63476
154068, 26787
295204, 175029
229803, 67392
301671, 183609
5377, 4750
231980, 181404
235868, 140142
109058, 20387
224981, 61111
280358, 24719
60761, 35472
74055, 24034
23021, 14484
101496, 62283
184468, 110562
28906, 7183
103774, 72034
249037, 198383
179908, 58267
371599, 88620
9659, 2066
115637, 14858
127827, 59831
164575, 119070
288096, 110567
224951, 195157
399616, 109410
57721, 26164
274901, 59141
283555, 219984
322167, 245075
336436, 37031
292068, 40498
231837, 6864
400654, 826
360236, 234279
344378, 204837
22779, 12769
172155, 8620
367727, 59996
158157, 74647
129445, 85602
251381, 20645
86203, 8909
186711, 9984
182636, 125047
100206, 78946
167949, 80304
310053, 93519
180450, 17860
325229, 167628
82696, 9386
248761, 45421
361054, 34795
348293, 274725
395887, 75395
402668, 304159
286311, 86825
292939, 56606
269914, 145028
399806, 156803
187753, 40206
98109, 82931
278954, 251847
84295, 48606
250634, 11611
356446, 11613
241391, 88363
215822, 140820
80190, 73869
178964, 145374
380431, 137710
53862, 43107
380455, 270620
172575, 146002
262585, 179251
364599, 267845
83891, 72080
391096, 331005
240642, 228825
310175, 281007
304557, 132388
309103, 275067
236121, 188826
291580, 155273
318137, 282624
173144, 48279
265513, 247329
411040, 190040
240591, 136019
