6580899, 7436456
10235503, 1431244
1847782, 13825623
7974010, 3908858
11347272, 13713357
4809123, 9936424
11464708, 3290413
3851826, 9871280
7267912, 903658
13580027, 10138138
9797091, 13338902
8620175, 3832972
4320268, 9342543
5284746, 10613690
1509669, 13313010
12784607, 5439241
11788727, 786449
11575820, 12122101
1855205, 5596212
6644101, 2378781
13098636, 6226742
11563245, 10637943
13719471, 3330815
11784933, 1035616
332321, 9405701
8981071, 7379709
8195340, 8067949
3708437, 2344586
6095687, 12690137
14002181, 6526216
10354239, 4252991
407104, 4684726
8811448, 4765378
1609936, 5975736
11742003, 9081654
12264793, 13507318
1361275, 10856258
3288949, 12477634
10645368, 1007876
6959235, 8185762
11776696, 13558784
2689935, 10200759
5260233, 13109503
6515893, 1452058
4237597, 12638701
13066208, 12917000
5681455, 11478994
6633646, 11416842
3734045, 11600022
3779099, 6220200
7250278, 704961
13928193, 4823741
